"Continue","استمر"
"Connect","الاتصال"
"Disconnect","قطع الاتصال"
"Login","تسجيل الدخول"
"Register","تسجيل"
"Unable to retrieve access code","تعذر استرداد رمز الدخول"
"Required HTTP method is not supported","طريقة هتب المطلوبة غير معتمدة"
"Unspecified OAuth error occurred","حدث خطأ أووث غير محدد"
"HTTP error %d occurred while issuing request","حدث خطأ هتب٪ d أثناء إصدار الطلب"
"No access token available","لا يتوفر رمز وصول مميز"
"No refresh token, nothing to revoke","لا رمز مميز للتحديث، لا شيء لإبطاله"
"No refresh token, unable to refresh access token","لا يمكن تحديث الرمز المميز، غير قادر على تحديث الرمز المميز للدخول"
"Unable to retrieve request token","تعذر استرداد الرمز المميز للطلب"
"Unable to retrieve access token","تعذر استرداد الرمز المميز للدخول"
"Unable to proceed without an access token","يتعذر المتابعة بدون رمز وصول مميز"
"You have successfully disconnected your Facebook account from our store account.","لقد نجحت في قطع اتصال حساب فاسيبوك من حساب المتجر."
"Facebook Connect process aborted.","تم إبطال عملية ربط فاسيبوك."
"Sorry, "%s" error occured. Please try again.","عذرا، حدث خطأ٪ "s". حاول مرة اخرى."
"Your Facebook account is already connected to one of our store accounts.","حساب الفيسبوك الخاص بك مربوط الآن بمتجرنا لتسهيل عمليات الشراء الخاصة بك."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","حساب الفيسبوك الخاص بك متصل الآن بحسابك على موقعنا. تستطيع الآن الدخول الى الموقع بواسطة حسابك على فيسبوك، او عن طريق معلومات حسابك الخاص على موقعنا والتي تم ارسالها عبر بردك الألكتروني المسجل لدينا اذا وجد!"
"You have successfully logged in using your Facebook account.","لقد قمت بتسجيل الدخول بنجاح باستخدام حساب فاسيبوك"
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","لقد اكتشفنا لديك بالفعل حساب في متجرنا. حساب فاسيبوك متصل الآن بحساب متجرك."
"Sorry, could not retrieve your Facebook first name. Please try again.","عذرا، تعذر استرداد اسمك الأول في فاسيبوك. حاول مرة اخرى."
"Sorry, could not retrieve your Facebook last name. Please try again.","عذرا، تعذر استرداد الاسم الأخير ل فاسيبوك. حاول مرة اخرى."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","حساب فاسيبوك متصل الآن بحساب المستخدم الجديد في متجرنا. الآن يمكنك تسجيل الدخول باستخدام زر الفيسبوك الاتصال بنا أو باستخدام بيانات اعتماد حساب المتجر سوف تتلقى إلى عنوان البريد الإلكتروني الخاص بك"
"You have successfully disconnected your Google account from our store account.","لقد نجحت في إلغاء ربط حسابك في غوغل بحساب المتجر."
"Google Connect process aborted.","تم إحباط عملية غوغل كونيكت."
"Your Google account is already connected to one of our store accounts.","حساب غوغل متصل بالفعل بحساب من حساباتنا."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","حساب غوغل متصل الآن بتجربة المتجر. يمكنك الآن تسجيل الدخول باستخدام زر غوغل كونيكت أو باستخدام بيانات اعتماد حساب المتجر التي ستتلقىها إلى عنوان بريدك الإلكتروني."
"You have successfully logged in using your Google account.","لقد سجلت الدخول بنجاح باستخدام حسابك في غوغل."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","لقد اكتشفنا لديك بالفعل حساب في متجرنا. حساب غوغل متصل الآن بحساب متجرك."
"Sorry, could not retrieve your Google first name. Please try again.","عذرا، تعذر استرداد اسم غوغل الأول. حاول مرة اخرى."
"Sorry, could not retrieve your Google last name. Please try again.","عذرا، تعذر استرداد اسم غوغل الأخير. حاول مرة اخرى."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","تم الآن ربط حسابك في غوغل بحساب المستخدم الجديد في متجرنا. الآن يمكنك تسجيل الدخول باستخدام زر الاتصال جوجل لدينا أو باستخدام بيانات اعتماد حساب المتجر سوف تتلقى إلى عنوان البريد الإلكتروني الخاص بك."
"You have successfully disconnected your Twitter account from our store account.","لقد نجحت في فصل حساب تويتر عن حساب المتجر."
"Twitter Connect process aborted.","تم إحباط عملية تويتر كونيكت."
"Your Twitter account is already connected to one of our store accounts.","حساب تويتر متصل بالفعل بحساب من حساباتنا."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","حساب تويتر متصل الآن بتجربة المتجر. يمكنك الآن الدخول باستخدام زر تويتر الاتصال بنا أو باستخدام بيانات اعتماد حساب المتجر سوف تتلقى إلى عنوان البريد الإلكتروني الخاص بك."
"You have successfully logged in using your Twitter account.","لقد سجلت الدخول بنجاح باستخدام حساب تويتر."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","لقد اكتشفنا لديك بالفعل حساب في متجرنا. حساب تويتر متصل الآن بحساب متجرك."
"Sorry, could not retrieve your Twitter last name. Please try again.","عذرا، تعذر استرداد اسم تويتر الأخير. حاول مرة اخرى."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","حساب تويتر متصل الآن بحساب المستخدم الجديد في متجرنا. الآن يمكنك تسجيل الدخول باستخدام زر تويتر الاتصال لدينا."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","نظرا لأن تويتر لا يدعم إمكانية دخول جهة خارجية إلى عنوان بريدك الإلكتروني، لم نتمكن من إرسال بيانات اعتماد أكوت إلى المتجر. لكي تتمكن من تسجيل الدخول باستخدام بيانات اعتماد حساب المتجر، ستحتاج إلى تحديث عنوان بريدك الإلكتروني وكلمة المرور باستخدام <a href="٪s"> تعديل معلومات الحساب </a>."
"Google Connect","غوغل كونيكت"
"Facebook Connect","الفيسبوك الاتصال"
"Twitter Connect","تويتر الاتصال"
"Customer My Account Google Connect","العميل حسابي غوغل كونيكت"
"Customer My Account Facebook Connect","العملاء حسابي الفيسبوك الاتصال"
"Customer My Account Twitter Connect","العملاء حسابي تويتر الاتصال"
"Connected as %s","تم الاتصال ك٪ s"
"Email: %s","البريد الإلكتروني:٪ s"
"Facebook #: %s","فاسيبوك #:٪ s"
"Gender: %s","الجنس:٪ s"
"Birthday: %s","تاريخ الميلاد:٪ s"
"You can connect store account with your Facebook account so you could login easier in the future.","يمكنك ربط حساب مخزن مع حساب الفيسبوك الخاص بك حتى تتمكن من تسجيل الدخول أسهل في المستقبل."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","يمكنك ربط حساب متجر معك حساب غوغل حتى تتمكن من تسجيل الدخول أسهل في المستقبل."
"Twitter #: %s","تويتر #:٪ s"
"You can connect store account with your Twitter account so you could login easier in the future.","يمكنك ربط حساب مخزن مع حساب تويتر الخاص بك حتى تتمكن من تسجيل الدخول أسهل في المستقبل."
"You can continue with checkout using your <strong>Google</strong> account.","يمكنك متابعة عملية الدفع باستخدام حسابك <سترونغ> غوغل </ سترونغ>."
"You can continue with checkout using your <strong>Facebook</strong> account.","يمكنك متابعة عملية الدفع باستخدام حسابك <سترونغ> فاسيبوك </ سترونغ>."
"You can continue with checkout using your <strong>Twitter</strong> account.","يمكنك متابعة عملية الدفع باستخدام حسابك <سترونغ> تويتر </ سترونغ>."
"You can login using your Google account.","يمكنك تسجيل الدخول باستخدام حساب غوغل الخاص بك."
"You can login using your Facebook account.","يمكنك تسجيل الدخول باستخدام حساب الفيسبوك الخاص بك."
"You can login using your Twitter account.","يمكنك تسجيل الدخول باستخدام حساب تويتر الخاص بك."
"You can register using your Google account.","يمكنك التسجيل باستخدام حسابك في غوغل."
"You can register using your Facebook account.","يمكنك التسجيل باستخدام حساب الفيسبوك الخاص بك."
"You can register using your Twitter account.","يمكنك التسجيل باستخدام حساب تويتر الخاص بك."